epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1499.43,0.91044,0.96596,0.95924,0.74095,0.36173,0.34074,0.24603,1.02623,1.23363,1.01346,7.925e-05,7.925e-05,7.925e-05
87,1516.89,0.86139,1.0613,0.92341,0.74683,0.35704,0.3432,0.24939,1.03767,1.20648,1.0185,7.43e-05,7.43e-05,7.43e-05
88,1534.3,0.91122,1.00162,0.98017,0.82552,0.34706,0.33965,0.24798,1.0341,1.21487,1.0263,6.935e-05,6.935e-05,6.935e-05
89,1552,0.90544,0.92538,0.94029,0.75701,0.34643,0.34553,0.25282,1.01394,1.19381,1.01534,6.44e-05,6.44e-05,6.44e-05
90,1569.55,0.8772,0.89794,0.94566,0.81932,0.36512,0.34961,0.25594,0.99404,1.1862,1.00681,5.945e-05,5.945e-05,5.945e-05
91,1586.76,0.82817,0.90256,0.93823,0.83118,0.35273,0.34539,0.25235,1.00521,1.20024,1.00726,5.45e-05,5.45e-05,5.45e-05
92,1603.79,0.81807,0.92756,0.92923,0.75376,0.35431,0.34062,0.25029,1.01451,1.23576,1.0112,4.955e-05,4.955e-05,4.955e-05
93,1620.91,0.80433,0.91038,0.93035,0.81367,0.37366,0.33649,0.24828,1.02434,1.22889,1.01649,4.46e-05,4.46e-05,4.46e-05
94,1637.86,0.80132,0.88471,0.91705,0.81815,0.36812,0.33792,0.24908,1.01578,1.22987,1.01318,3.965e-05,3.965e-05,3.965e-05
95,1655.09,0.81824,0.90925,0.93835,0.82197,0.36317,0.34027,0.25228,1.01156,1.20239,1.00808,3.47e-05,3.47e-05,3.47e-05
96,1672.15,0.81847,0.90103,0.93843,0.82257,0.36262,0.34196,0.25195,1.00822,1.20616,1.01077,2.975e-05,2.975e-05,2.975e-05
97,1689.4,0.79915,0.86833,0.92401,0.82313,0.36534,0.34216,0.25095,1.00616,1.20647,1.01275,2.48e-05,2.48e-05,2.48e-05
98,1707.33,0.80463,0.8696,0.92571,0.82676,0.35911,0.33949,0.25037,1.00146,1.21416,1.01126,1.985e-05,1.985e-05,1.985e-05
99,1726.5,0.82011,0.94342,0.94025,0.82811,0.35666,0.3343,0.24585,1.00151,1.23227,1.01584,1.49e-05,1.49e-05,1.49e-05
100,1744.57,0.79295,0.84395,0.9157,0.82832,0.358,0.33731,0.24833,0.99927,1.2238,1.0123,9.95e-06,9.95e-06,9.95e-06
